"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"AHREF","https://stg-www.worldvision.ca/our-work/chad/173942","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/199979","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/haiti/191190","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories/topic/charitable-giving","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child/support-centre/resources-for-sponsors/meeting-your-sponsored-child","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/south-africa/200256","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/about-us/2019-heros-for-children-awards","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/el-salvador","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories?tagid=451&tagname=child%20marriage","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/philippines","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/203124","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/203123","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/honduras/195297","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/get-involved/volunteer/volunteer-at-special-events","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/uganda/196636","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/199995","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/shop-gifts/gift-impact","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/bolivia/177632","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/indonesia/191467","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories/topic/refugees","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mauritania","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/172727","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/204271","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/cambodia/181829","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/cambodia/174054","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/senegal/208330","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/costa-rica","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories/region/eastern-europe","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/167267","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/haiti/174929","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories?tagid=120&tagname=ambassador","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work/nicaragua/199756","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child/support-centre/resources-for-sponsors/addressing-letters","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
